Date,Open,High,Low,Close,pair
2022-03-24,121.101,122.423,120.959,122.387,USDJPY
2022-03-25,122.386,122.437,121.21,122.091,USDJPY
2022-03-28,122.0405,125.0495,122.0235,123.894,USDJPY
2022-03-29,123.884,124.301,122.008,122.8845,USDJPY
2022-03-30,122.8875,123.207,121.324,121.8765,USDJPY
2022-03-31,121.8765,122.451,121.288,121.686,USDJPY
2022-04-01,121.687,123.027,121.687,122.538,USDJPY
2022-04-04,122.5575,122.948,122.289,122.793,USDJPY
2022-04-05,122.7925,123.669,122.403,123.6045,USDJPY
2022-04-06,123.5975,124.053,123.504,123.792,USDJPY
2022-04-07,123.798,124.001,123.474,123.9655,USDJPY
2022-04-08,123.965,124.678,123.675,124.353,USDJPY
2022-04-11,124.2135,125.763,124.1955,125.4035,USDJPY
2022-04-12,125.412,125.758,124.78,125.383,USDJPY
2022-04-13,125.3745,126.302,125.349,125.6905,USDJPY
2022-04-14,125.69,126.016,125.088,125.9305,USDJPY
2022-04-18,126.4415,127.0935,126.259,127.089,USDJPY
2022-04-19,127.0945,128.973,127.006,128.9395,USDJPY
2022-04-20,128.9455,129.401,127.46,127.972,USDJPY
2022-04-21,127.9565,128.7,127.823,128.414,USDJPY
2022-04-22,128.4125,129.105,127.788,128.542,USDJPY
2022-04-25,128.5365,128.857,127.529,128.1535,USDJPY
2022-04-26,128.156,128.2255,127.03,127.22,USDJPY
2022-04-27,127.2105,128.591,126.952,128.4855,USDJPY
2022-04-28,128.4615,131.25,128.343,130.859,USDJPY
2022-04-29,130.8475,130.956,129.321,129.763,USDJPY
2022-05-02,129.896,130.48,129.616,130.2145,USDJPY
2022-05-03,130.2155,130.291,129.715,130.128,USDJPY
2022-05-04,130.129,130.3755,128.658,129.1855,USDJPY
2022-05-05,129.1795,130.55,128.757,130.2065,USDJPY
2022-05-06,130.21,130.806,130.098,130.545,USDJPY
2022-05-09,130.5605,131.346,130.118,130.366,USDJPY
2022-05-10,130.372,130.578,129.802,130.438,USDJPY
2022-05-11,130.437,130.802,129.462,129.97,USDJPY
2022-05-12,129.979,130.051,127.53,128.434,USDJPY
2022-05-13,128.435,129.451,128.353,129.326,USDJPY
2022-05-16,129.387,129.633,128.707,129.0795,USDJPY
2022-05-17,129.0745,129.78,128.832,129.3655,USDJPY
2022-05-18,129.369,129.537,128.009,128.3185,USDJPY
2022-05-19,128.312,128.945,127.032,127.754,USDJPY
2022-05-20,127.764,128.296,127.532,127.858,USDJPY
2022-05-23,127.8705,128.0575,127.157,127.9025,USDJPY
2022-05-24,127.9005,128.075,126.369,126.8545,USDJPY
2022-05-25,126.847,127.494,126.656,127.2545,USDJPY
2022-05-26,127.259,127.578,126.556,127.1215,USDJPY
2022-05-27,127.122,127.249,126.679,127.13,USDJPY
2022-05-30,127.126,127.817,126.866,127.64,USDJPY
2022-05-31,127.6415,128.892,127.534,128.7015,USDJPY
2022-06-01,128.701,130.187,128.651,130.148,USDJPY
2022-06-02,130.1405,130.238,129.519,129.872,USDJPY
2022-06-03,129.8665,130.979,129.687,130.853,USDJPY
2022-06-06,130.9195,132.009,130.433,131.91,USDJPY
2022-06-07,131.9015,133.0,131.896,132.639,USDJPY
2022-06-08,132.6385,134.468,132.605,134.236,USDJPY
2022-06-09,134.2225,134.549,133.204,134.398,USDJPY
2022-06-10,134.397,134.475,133.375,134.382,USDJPY
2022-06-13,134.427,135.1635,133.595,134.4195,USDJPY
2022-06-14,134.4195,135.577,133.877,135.566,USDJPY
2022-06-15,135.565,135.577,133.509,133.85,USDJPY
2022-06-16,133.845,134.678,131.501,132.323,USDJPY
2022-06-17,132.327,135.426,132.183,134.976,USDJPY
2022-06-20,134.9965,135.437,134.541,135.107,USDJPY
2022-06-21,135.1065,136.702,134.927,136.672,USDJPY
2022-06-22,136.665,136.7135,135.705,136.162,USDJPY
2022-06-23,136.1715,136.199,134.27,134.9475,USDJPY
2022-06-24,134.947,135.4,134.357,135.203,USDJPY
2022-06-27,135.1795,135.549,134.524,135.451,USDJPY
2022-06-28,135.449,136.378,135.114,136.1385,USDJPY
2022-06-29,136.1395,137.001,135.797,136.5635,USDJPY
2022-06-30,136.5795,136.807,135.554,135.745,USDJPY
2022-07-01,135.745,135.983,134.751,135.298,USDJPY
2022-07-04,135.2635,135.776,134.788,135.746,USDJPY
2022-07-05,135.744,136.363,135.533,135.8425,USDJPY
2022-07-06,135.8415,136.003,134.957,135.929,USDJPY
2022-07-07,135.928,136.219,135.556,136.024,USDJPY
2022-07-08,136.018,136.56,135.344,136.062,USDJPY
2022-07-11,136.139,137.751,136.108,137.436,USDJPY
2022-07-12,137.433,137.523,136.491,136.869,USDJPY
2022-07-13,136.8365,137.862,136.698,137.4145,USDJPY
2022-07-14,137.4155,139.389,137.3315,138.985,USDJPY
2022-07-15,138.984,139.126,138.405,138.526,USDJPY
2022-07-18,138.58,138.5975,137.89,138.145,USDJPY
2022-07-19,138.141,138.394,137.385,138.184,USDJPY
2022-07-20,138.1735,138.374,137.906,138.2475,USDJPY
2022-07-21,138.251,138.877,137.303,137.384,USDJPY
2022-07-22,137.3815,137.953,135.572,135.994,USDJPY
2022-07-25,136.1685,136.791,135.891,136.662,USDJPY
2022-07-26,136.663,136.968,136.283,136.916,USDJPY
2022-07-27,136.915,137.459,136.332,136.579,USDJPY
2022-07-28,136.577,136.5855,134.206,134.324,USDJPY
2022-07-29,134.32,134.677,132.514,133.36,USDJPY
2022-08-01,133.217,133.56,131.604,131.663,USDJPY
2022-08-02,131.662,133.2095,130.4025,133.1815,USDJPY
2022-08-03,133.208,134.546,132.3105,133.8415,USDJPY
2022-08-04,133.8415,134.414,132.774,133.0195,USDJPY
2022-08-05,133.0115,135.495,132.531,135.048,USDJPY
2022-08-08,135.1125,135.552,134.374,134.9935,USDJPY
2022-08-09,134.971,135.202,134.677,135.0995,USDJPY
2022-08-10,135.0995,135.3,132.043,132.8705,USDJPY
2022-08-11,132.8695,133.307,131.7345,133.01,USDJPY
2022-08-12,133.01,133.892,132.888,133.487,USDJPY
2022-08-15,133.5015,133.596,132.56,133.2825,USDJPY
2022-08-16,133.2825,134.679,132.957,134.239,USDJPY
2022-08-17,134.24,135.498,133.916,135.1055,USDJPY
2022-08-18,135.1055,135.902,134.653,135.879,USDJPY
2022-08-19,135.8795,137.224,135.722,136.791,USDJPY
2022-08-22,136.848,137.649,136.712,137.5045,USDJPY
2022-08-23,137.498,137.712,135.823,136.741,USDJPY
2022-08-24,136.7275,137.242,136.176,137.1095,USDJPY
2022-08-25,137.112,137.201,136.322,136.495,USDJPY
2022-08-26,136.491,137.484,136.3025,137.456,USDJPY
2022-08-29,137.612,139.0,137.5785,138.7275,USDJPY
2022-08-30,138.721,139.068,138.054,138.7755,USDJPY
2022-08-31,138.775,139.097,138.277,139.089,USDJPY
2022-09-01,139.0855,140.2355,139.028,140.2205,USDJPY
2022-09-02,140.2235,140.799,139.875,140.24,USDJPY
2022-09-05,140.174,140.656,140.125,140.5835,USDJPY
2022-09-06,140.5835,143.071,140.254,142.775,USDJPY
2022-09-07,142.779,144.989,142.7685,143.7475,USDJPY
2022-09-08,143.7485,144.537,143.328,144.119,USDJPY
2022-09-09,144.123,144.123,141.506,142.693,USDJPY
2022-09-12,142.4135,143.495,142.163,142.8155,USDJPY
2022-09-13,142.8155,144.691,141.703,144.689,USDJPY
2022-09-14,144.6855,144.961,142.557,143.148,USDJPY
2022-09-15,143.1415,143.802,142.802,143.4845,USDJPY
2022-09-16,143.486,143.693,142.842,142.913,USDJPY
2022-09-19,142.9525,143.643,142.652,143.2435,USDJPY
2022-09-20,143.242,143.919,142.947,143.732,USDJPY
2022-09-21,143.7325,144.6985,143.354,144.077,USDJPY
2022-09-22,144.075,145.893,140.352,142.339,USDJPY
2022-09-23,142.339,143.463,141.766,143.299,USDJPY
2022-09-26,143.5115,144.788,143.254,144.69,USDJPY
2022-09-27,144.69,144.905,144.072,144.7925,USDJPY
2022-09-28,144.794,144.869,143.912,144.1005,USDJPY
2022-09-29,144.101,144.797,144.096,144.47,USDJPY
2022-09-30,144.4725,144.807,144.207,144.722,USDJPY
2022-10-03,144.702,145.208,144.16,144.6145,USDJPY
2022-10-04,144.6145,144.936,143.9,144.2355,USDJPY
2022-10-05,144.236,144.844,143.532,144.6095,USDJPY
2022-10-06,144.5875,145.141,144.387,145.094,USDJPY
2022-10-07,145.1205,145.443,144.728,145.36,USDJPY
2022-10-10,145.3755,145.804,145.238,145.719,USDJPY
2022-10-11,145.714,145.898,145.429,145.8045,USDJPY
2022-10-12,145.807,146.966,145.731,146.869,USDJPY
2022-10-13,146.8675,147.659,146.4915,147.171,USDJPY
2022-10-14,147.189,148.858,147.098,148.61,USDJPY
2022-10-17,148.522,149.084,148.439,148.9885,USDJPY
2022-10-18,148.9885,149.326,148.267,149.198,USDJPY
2022-10-19,149.185,149.9095,149.0985,149.8585,USDJPY
2022-10-20,149.8415,150.283,149.556,150.134,USDJPY
2022-10-21,150.131,151.944,146.2165,147.629,USDJPY
2022-10-24,148.091,149.678,145.581,149.038,USDJPY
2022-10-25,149.04,149.099,147.525,148.094,USDJPY
2022-10-26,148.0855,148.413,146.228,146.387,USDJPY
2022-10-27,146.3795,146.9375,145.119,146.2945,USDJPY
2022-10-28,146.294,147.862,146.004,147.425,USDJPY
2022-10-31,147.719,148.844,147.62,148.684,USDJPY
2022-11-01,148.684,148.818,146.994,148.167,USDJPY
2022-11-02,148.166,148.181,145.6825,147.926,USDJPY
2022-11-03,147.935,148.449,147.114,148.171,USDJPY
2022-11-04,148.164,148.405,146.56,146.661,USDJPY
2022-11-07,146.977,147.559,146.098,146.611,USDJPY
2022-11-08,146.5795,146.934,145.313,145.672,USDJPY
2022-11-09,145.67,146.796,145.203,146.441,USDJPY
2022-11-10,146.4365,146.588,140.208,141.703,USDJPY
2022-11-11,141.703,142.483,138.476,138.672,USDJPY
2022-11-14,139.7205,140.803,138.825,140.066,USDJPY
2022-11-15,140.043,140.608,137.6895,139.2985,USDJPY
2022-11-16,139.295,140.294,138.746,139.495,USDJPY
2022-11-17,139.513,140.739,138.881,140.29,USDJPY
2022-11-18,140.28,140.498,139.636,140.396,USDJPY
2022-11-21,140.3795,142.253,140.166,142.105,USDJPY
2022-11-22,142.1035,142.242,141.088,141.199,USDJPY
2022-11-23,141.1995,141.6,139.186,139.5855,USDJPY
2022-11-24,139.5815,139.5815,138.072,138.5865,USDJPY
2022-11-25,138.578,139.592,138.384,139.0595,USDJPY
2022-11-28,139.27,139.424,137.502,138.909,USDJPY
2022-11-29,138.909,139.353,137.868,138.6785,USDJPY
2022-11-30,138.6815,139.894,137.655,138.085,USDJPY
2022-12-01,138.0855,138.0855,135.213,135.329,USDJPY
2022-12-02,135.329,135.98,133.635,134.315,USDJPY
2022-12-05,134.361,136.853,134.137,136.738,USDJPY
2022-12-06,136.729,137.422,135.973,136.998,USDJPY
2022-12-07,137.0015,137.854,136.22,136.442,USDJPY
2022-12-08,136.462,137.238,136.258,136.6535,USDJPY
2022-12-09,136.6505,136.893,135.606,136.695,USDJPY
2022-12-12,136.595,137.85,136.57,137.553,USDJPY
2022-12-13,137.557,137.953,134.667,135.489,USDJPY
2022-12-14,135.4795,135.99,134.6085,135.43,USDJPY
2022-12-15,135.442,138.173,135.243,137.752,USDJPY
2022-12-16,137.752,137.797,136.3,136.698,USDJPY
2022-12-19,136.1795,137.157,135.761,136.8905,USDJPY
2022-12-20,136.887,137.472,130.586,131.7675,USDJPY
2022-12-21,131.758,132.521,131.517,132.3675,USDJPY
2022-12-22,132.3565,132.7,131.653,132.4025,USDJPY
2022-12-23,132.3945,133.14,132.159,132.884,USDJPY
2022-12-27,132.917,133.596,132.636,133.477,USDJPY
2022-12-28,133.479,134.5,133.405,134.304,USDJPY
2022-12-29,134.312,134.357,132.885,133.0265,USDJPY
2022-12-30,133.023,133.095,130.786,131.279,USDJPY
2023-01-02,130.8545,131.045,130.62,130.741,USDJPY
2023-01-03,130.743,131.394,129.524,130.999,USDJPY
2023-01-04,130.999,132.7175,129.928,132.393,USDJPY
2023-01-05,132.41,134.055,131.706,133.418,USDJPY
2023-01-06,133.426,134.765,132.005,132.103,USDJPY
2023-01-09,132.121,132.656,131.31,131.8975,USDJPY
2023-01-10,131.895,132.479,131.392,132.19,USDJPY
2023-01-11,132.177,132.873,132.068,132.429,USDJPY
2023-01-12,132.429,132.429,128.882,129.3015,USDJPY
2023-01-13,129.3165,129.4265,127.472,127.883,USDJPY
2023-01-16,127.7805,128.864,127.239,128.462,USDJPY
2023-01-17,128.4615,129.1485,127.993,128.2225,USDJPY
2023-01-18,128.2225,131.58,127.582,128.766,USDJPY
2023-01-19,128.763,128.844,127.772,128.4215,USDJPY
2023-01-20,128.426,130.613,128.353,129.583,USDJPY
2023-01-23,129.618,130.888,129.054,130.6065,USDJPY
2023-01-24,130.613,131.115,129.732,130.1615,USDJPY
2023-01-25,130.1575,130.586,129.281,129.507,USDJPY
2023-01-26,129.506,130.615,129.031,130.1685,USDJPY
2023-01-27,130.156,130.266,129.505,129.877,USDJPY
2023-01-30,129.8295,130.568,129.209,130.38,USDJPY
2023-01-31,130.38,130.527,129.753,130.0905,USDJPY
2023-02-01,130.0895,130.407,128.554,128.9245,USDJPY
2023-02-02,128.9225,129.117,128.086,128.644,USDJPY
2023-02-03,128.6495,131.191,128.332,131.144,USDJPY
2023-02-06,131.8895,132.902,131.517,132.623,USDJPY
2023-02-07,132.6225,132.71,130.487,131.0695,USDJPY
2023-02-08,131.0625,131.534,130.605,131.35,USDJPY
2023-02-09,131.3495,131.824,130.346,131.473,USDJPY
2023-02-10,131.474,131.894,129.809,131.413,USDJPY
2023-02-13,131.4385,132.911,131.4075,132.4195,USDJPY
2023-02-14,132.4175,133.314,131.5585,133.079,USDJPY
2023-02-15,133.09,134.356,132.548,134.021,USDJPY
2023-02-16,134.015,134.462,133.605,133.9785,USDJPY
2023-02-17,133.9835,135.102,133.9835,134.191,USDJPY
2023-02-20,134.2665,134.536,133.933,134.268,USDJPY
2023-02-21,134.2655,135.227,134.155,134.954,USDJPY
2023-02-22,134.9635,135.056,134.369,134.886,USDJPY
2023-02-23,134.886,135.363,134.489,134.689,USDJPY
2023-02-24,134.6885,136.521,134.075,136.416,USDJPY
2023-02-27,136.3755,136.5515,135.918,136.2015,USDJPY
2023-02-28,136.203,136.913,135.75,136.2115,USDJPY
2023-03-01,136.2105,136.464,135.261,136.123,USDJPY
2023-03-02,136.1195,137.092,136.024,136.7245,USDJPY
2023-03-03,136.721,136.768,135.747,135.831,USDJPY
2023-03-06,135.896,136.186,135.384,135.944,USDJPY
2023-03-07,135.94,137.194,135.55,137.115,USDJPY
2023-03-08,137.1155,137.898,136.487,137.2785,USDJPY
2023-03-09,137.269,137.291,135.948,136.163,USDJPY
2023-03-10,136.1675,136.99,134.119,134.86,USDJPY
2023-03-13,134.4365,135.037,132.298,133.211,USDJPY
2023-03-14,133.209,134.898,133.039,134.242,USDJPY
2023-03-15,134.242,135.112,132.2235,133.344,USDJPY
2023-03-16,133.344,133.826,131.729,133.483,USDJPY
2023-03-17,133.482,133.58,131.577,131.846,USDJPY
2023-03-20,132.166,132.642,130.543,131.411,USDJPY
2023-03-21,131.411,132.621,131.042,132.35,USDJPY
2023-03-22,132.349,133.002,131.009,131.479,USDJPY
2023-03-23,131.472,131.659,130.326,130.838,USDJPY
2023-03-24,130.837,130.935,129.649,130.7145,USDJPY
2023-03-27,130.583,131.755,130.507,131.5515,USDJPY
2023-03-28,131.553,131.5675,130.419,130.8575,USDJPY
2023-03-29,130.861,132.889,130.762,132.7445,USDJPY
2023-03-30,132.748,132.963,132.212,132.6755,USDJPY
2023-03-31,132.676,133.587,132.591,132.76,USDJPY
2023-04-03,133.277,133.755,132.206,132.4225,USDJPY
2023-04-04,132.4145,133.162,131.531,131.737,USDJPY
2023-04-05,131.723,131.846,130.652,131.254,USDJPY
2023-04-06,131.254,131.892,130.794,131.71,USDJPY
2023-04-10,132.16,133.87,131.83,133.59,USDJPY
2023-04-11,133.591,133.804,132.977,133.665,USDJPY
2023-04-12,133.664,134.044,132.745,133.135,USDJPY
2023-04-13,133.11,133.389,132.033,132.5735,USDJPY
2023-04-14,132.5755,133.838,132.172,133.764,USDJPY
2023-04-17,133.8195,134.573,133.715,134.456,USDJPY
2023-04-18,134.4445,134.704,133.867,134.084,USDJPY
2023-04-19,134.0875,135.072,133.957,134.625,USDJPY
2023-04-20,134.6285,134.971,134.015,134.2195,USDJPY
2023-04-21,134.2245,134.49,133.552,134.076,USDJPY
2023-04-24,134.028,134.731,133.895,134.1985,USDJPY
2023-04-25,134.1905,134.478,133.375,133.7335,USDJPY
2023-04-26,133.7275,133.9255,133.018,133.636,USDJPY
2023-04-27,133.639,134.194,133.249,133.902,USDJPY
2023-04-28,133.904,136.552,133.432,136.242,USDJPY
2023-05-01,136.223,137.538,136.192,137.4905,USDJPY
2023-05-02,137.4775,137.775,136.319,136.552,USDJPY
2023-05-03,136.5505,136.574,134.566,134.615,USDJPY
2023-05-04,134.6185,134.877,133.504,134.2445,USDJPY
2023-05-05,134.2605,135.116,133.888,134.853,USDJPY
2023-05-08,134.8605,135.295,134.658,135.077,USDJPY
2023-05-09,135.061,135.35,134.724,135.2205,USDJPY
2023-05-10,135.217,135.466,134.116,134.307,USDJPY
2023-05-11,134.305,134.844,133.752,134.5165,USDJPY
2023-05-12,134.5175,135.746,134.406,135.698,USDJPY
2023-05-15,135.7565,136.326,135.6955,136.093,USDJPY
2023-05-16,136.086,136.684,135.69,136.375,USDJPY
2023-05-17,136.375,137.71,136.308,137.5675,USDJPY
2023-05-18,137.568,138.748,137.291,138.6815,USDJPY
2023-05-19,138.675,138.688,137.434,137.965,USDJPY
2023-05-22,137.998,138.686,137.497,138.5855,USDJPY
2023-05-23,138.5865,138.908,138.249,138.54,USDJPY
2023-05-24,138.536,139.476,138.233,139.3715,USDJPY
2023-05-25,139.365,140.221,138.913,140.064,USDJPY
2023-05-26,140.0665,140.724,139.498,140.57,USDJPY
2023-05-29,140.6765,140.917,140.114,140.383,USDJPY
2023-05-30,140.385,140.925,139.576,139.7905,USDJPY
2023-05-31,139.7895,140.374,139.236,139.325,USDJPY
2023-06-01,139.3345,139.948,138.461,138.8265,USDJPY
2023-06-02,138.835,140.07,138.608,139.981,USDJPY
2023-06-05,139.973,140.453,139.253,139.554,USDJPY
2023-06-06,139.557,139.994,139.102,139.64,USDJPY
2023-06-07,139.636,140.248,139.032,140.132,USDJPY
2023-06-08,140.1285,140.215,138.811,138.9045,USDJPY
2023-06-09,138.9085,139.725,138.77,139.447,USDJPY
2023-06-12,139.437,139.768,139.067,139.595,USDJPY
2023-06-13,139.592,140.306,139.019,140.2105,USDJPY
2023-06-14,140.208,140.27,139.291,140.0455,USDJPY
2023-06-15,140.0475,141.502,139.945,140.288,USDJPY
2023-06-16,140.287,141.886,139.856,141.842,USDJPY
2023-06-19,141.8075,142.001,141.443,141.9435,USDJPY
2023-06-20,141.9445,142.246,141.215,141.3995,USDJPY
2023-06-21,141.392,142.359,141.286,141.853,USDJPY
2023-06-22,141.8595,143.227,141.612,143.0885,USDJPY
2023-06-23,143.089,143.872,142.7275,143.792,USDJPY
2023-06-26,143.63,143.72,142.946,143.4785,USDJPY
2023-06-27,143.483,144.169,143.287,144.0375,USDJPY
2023-06-28,144.031,144.613,143.742,144.383,USDJPY
2023-06-29,144.389,144.9,144.137,144.756,USDJPY
2023-06-30,144.7525,145.068,144.215,144.271,USDJPY
2023-07-03,144.3015,144.914,144.005,144.6605,USDJPY
2023-07-04,144.66,144.702,144.207,144.457,USDJPY
2023-07-05,144.4595,144.731,144.082,144.5715,USDJPY
2023-07-06,144.5715,144.65,143.559,144.0415,USDJPY
2023-07-07,144.0425,144.195,142.086,142.122,USDJPY
2023-07-10,142.157,142.999,141.28,141.332,USDJPY
2023-07-11,141.3365,141.461,140.161,140.3635,USDJPY
2023-07-12,140.356,140.356,138.167,138.4365,USDJPY
2023-07-13,138.437,138.953,137.925,138.077,USDJPY
2023-07-14,138.051,139.152,137.268,138.9,USDJPY
2023-07-17,138.724,139.403,138.013,138.7065,USDJPY
2023-07-18,138.709,139.131,137.745,138.8275,USDJPY
2023-07-19,138.827,139.993,138.767,139.615,USDJPY
2023-07-20,139.6165,140.495,139.116,140.0655,USDJPY
2023-07-21,140.0645,141.954,139.754,141.77,USDJPY
2023-07-24,141.733,141.808,140.785,141.4535,USDJPY
2023-07-25,141.4535,141.738,140.855,140.9355,USDJPY
2023-07-26,140.9405,141.181,139.945,140.2045,USDJPY
2023-07-27,140.198,141.297,138.77,139.4445,USDJPY
2023-07-28,139.439,141.153,138.066,141.09,USDJPY
2023-07-31,141.061,142.661,140.699,142.2805,USDJPY
2023-08-01,142.2735,143.545,142.214,142.8075,USDJPY
2023-08-02,142.7765,143.469,142.239,143.299,USDJPY
2023-08-03,143.298,143.89,142.068,142.5345,USDJPY
2023-08-04,142.5245,142.922,141.553,141.815,USDJPY
2023-08-07,141.7425,142.577,141.526,142.4825,USDJPY
2023-08-08,142.483,143.488,142.408,143.3545,USDJPY
2023-08-09,143.3425,143.75,143.003,143.68,USDJPY
2023-08-10,143.6815,144.817,143.3055,144.701,USDJPY
2023-08-11,144.7005,144.997,144.424,144.942,USDJPY
2023-08-14,144.974,145.576,144.6845,145.5515,USDJPY
2023-08-15,145.548,145.865,145.107,145.566,USDJPY
2023-08-16,145.569,146.408,145.311,146.28,USDJPY
2023-08-17,146.278,146.543,145.622,145.835,USDJPY
2023-08-18,145.829,145.844,144.937,145.342,USDJPY
2023-08-21,145.414,146.401,145.148,146.2165,USDJPY
2023-08-22,146.2195,146.392,145.5,145.8725,USDJPY
2023-08-23,145.87,145.881,144.542,144.8155,USDJPY
2023-08-24,144.8285,145.956,144.606,145.829,USDJPY
2023-08-25,145.84,146.629,145.726,146.373,USDJPY
2023-08-28,146.4345,146.738,146.281,146.5405,USDJPY
2023-08-29,146.5355,147.365,145.669,145.9235,USDJPY
2023-08-30,145.9135,146.537,145.561,146.1845,USDJPY
2023-08-31,146.1775,146.223,145.35,145.543,USDJPY
2023-09-01,145.545,146.292,144.445,146.193,USDJPY
2023-09-04,146.221,146.497,146.028,146.4715,USDJPY
2023-09-05,146.4665,147.79,146.4665,147.6965,USDJPY
2023-09-06,147.6915,147.817,147.026,147.6365,USDJPY
2023-09-07,147.637,147.871,147.049,147.2845,USDJPY
2023-09-08,147.2815,147.869,146.602,147.85,USDJPY
2023-09-11,146.822,147.2795,145.914,146.566,USDJPY
2023-09-12,146.5655,147.23,146.456,147.12,USDJPY
2023-09-13,147.1205,147.696,147.018,147.3705,USDJPY
2023-09-14,147.371,147.564,147.022,147.4285,USDJPY
2023-09-15,147.422,147.951,147.342,147.859,USDJPY
2023-09-18,147.7955,147.875,147.561,147.61,USDJPY
2023-09-19,147.61,147.92,147.515,147.78,USDJPY
2023-09-20,147.7785,148.362,147.475,148.1995,USDJPY
2023-09-21,148.1995,148.452,147.325,147.574,USDJPY
2023-09-22,147.58,148.411,147.517,148.392,USDJPY
2023-09-25,148.3255,148.952,148.254,148.842,USDJPY
2023-09-26,148.847,149.184,148.706,149.009,USDJPY
2023-09-27,149.0105,149.707,148.865,149.4775,USDJPY
2023-09-28,149.491,149.558,149.15,149.283,USDJPY
2023-09-29,149.2815,149.499,148.531,149.428,USDJPY
2023-10-02,149.518,149.873,149.4305,149.8415,USDJPY
2023-10-03,149.8405,150.159,147.3825,149.0575,USDJPY
2023-10-04,149.0405,149.319,148.738,149.0185,USDJPY
2023-10-05,149.019,149.104,148.272,148.492,USDJPY
2023-10-06,148.4875,149.499,148.362,149.335,USDJPY
2023-10-09,149.0575,149.241,148.438,148.5375,USDJPY
2023-10-10,148.54,149.096,148.169,148.698,USDJPY
2023-10-11,148.6965,149.322,148.427,149.091,USDJPY
2023-10-12,149.0955,149.829,148.958,149.771,USDJPY
2023-10-13,149.7705,149.826,149.457,149.507,USDJPY
2023-10-16,149.459,149.76,149.376,149.5375,USDJPY
2023-10-17,149.543,149.849,149.0195,149.784,USDJPY
2023-10-18,149.7815,149.939,149.512,149.8065,USDJPY
2023-10-19,149.7935,149.953,149.67,149.7715,USDJPY
2023-10-20,149.786,149.993,149.766,149.867,USDJPY
2023-10-23,149.8225,149.99,149.558,149.714,USDJPY
2023-10-24,149.717,149.922,149.325,149.8575,USDJPY
2023-10-25,149.8645,150.314,149.797,150.1635,USDJPY
2023-10-26,150.164,150.778,149.953,150.382,USDJPY
2023-10-27,150.3805,150.406,149.463,149.555,USDJPY
2023-10-30,149.717,149.851,148.815,149.125,USDJPY
2023-10-31,149.123,151.718,149.084,151.398,USDJPY
2023-11-01,151.406,151.479,150.612,150.663,USDJPY
2023-11-02,150.669,150.685,149.849,150.48,USDJPY
2023-11-03,150.48,150.521,149.219,149.369,USDJPY
2023-11-06,149.3755,150.0825,149.3635,149.995,USDJPY
2023-11-07,149.993,150.689,149.937,150.351,USDJPY
2023-11-08,150.3505,151.058,150.3505,150.896,USDJPY
